Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,156.8,-79.8,-90.0,top
C2,0.1u,C_0603_1608Metric,140.1,-76.5,180.0,top
C3,1u,C_0603_1608Metric,148.4,-72.1,180.0,top
C4,0.1u,C_0603_1608Metric,156.8,-76.1,90.0,top
C5,0.1u,C_0603_1608Metric,156.8,-83.8,90.0,top
C6,0.1u,C_0603_1608Metric,139.9,-79.3,-90.0,top
C7,0.1u,C_0603_1608Metric,142.4,-87.4,180.0,top
C8,10u,C_0603_1608Metric,137.7,-79.2,-90.0,top
C9,0.1u,C_0603_1608Metric,145.275,-108.1,0.0,top
C10,0.1u,C_0603_1608Metric,149.0,-106.0,180.0,top
C11,10u,C_0603_1608Metric,145.3,-106.0,0.0,top
C12,1u,C_0603_1608Metric,149.025,-108.1,180.0,top
C13,20p,C_0603_1608Metric,134.379,-86.741,180.0,top
C14,20p,C_0603_1608Metric,130.556,-82.55,180.0,top
D1,LED,A67F,166.8,-97.45,-90.0,top
FB1,FerriteBead,R_0603_1608Metric,144.725,-114.8,0.0,top
FB2,FerriteBead,R_0603_1608Metric,144.7,-112.9,0.0,top
FB3,FerriteBead,R_0603_1608Metric,144.7,-111.1,0.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,160.225,-86.5,90.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,129.6,-91.925,180.0,top
J4,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,148.1,-123.3625,0.0,top
R1,10k,R_0603_1608Metric,142.3,-74.5,180.0,top
R2,10k,R_0603_1608Metric,156.0,-86.5,180.0,top
R3,47,R_0603_1608Metric,167.1,-102.6,0.0,top
R4,47,R_0603_1608Metric,166.975,-92.3,180.0,top
R5,22,R_0603_1608Metric,132.0,-100.525,-90.0,top
R6,22,R_0603_1608Metric,134.0,-100.5,-90.0,top
R7,5.1k,R_0603_1608Metric,155.1,-120.3,-90.0,top
R8,5.1k,R_0603_1608Metric,141.1,-120.225,-90.0,top
TP1,TestPoint,TestPoint_Pad_D1.0mm,152.908,-71.628,180.0,bottom
TP2,TestPoint,TestPoint_Pad_D1.0mm,147.574,-71.628,180.0,bottom
TP3,TestPoint,TestPoint_Pad_D1.0mm,144.907,-71.628,180.0,bottom
TP4,TestPoint,TestPoint_Pad_D1.0mm,150.241,-71.628,180.0,bottom
TP5,TestPoint,TestPoint_Pad_D1.0mm,141.986,-71.755,180.0,bottom
TP6,TestPoint,TestPoint_Pad_D1.0mm,155.575,-72.263,180.0,bottom
U1,ATmega32U4RC-A,TQFP-44_10x10mm_P0.8mm,148.844,-80.7466,-90.0,top
U2,IP4220CZ6,SOT95P275X110-6N,150.5,-113.4,0.0,top
U3,ADNS-5050,ADNS-2610,150.15,-91.15,180.0,top
Y1,ECS-160-12-30B-AGM-TR,Crystal_SMD_2520-4Pin_2.5x2.0mm,134.493,-83.439,90.0,top
